,train,val,test
0,0005f7aaab2800f6170c399693a96917,4f7b524ea37437c9dc146096f3494928,5c4baef054d63b3b93c99a885fc94fac
1,000920ad0b612851f8e01bcc880d9b3d,040b2c98538ec7ead1cbd6daacdb3f64,66afef566add0c44fbc3a00392b5a39a
2,002a4db09dad406c85505a00fb6f6144,a0df9f687c355120bbaecf0b38d21181,6523c91279b338c2527c4fb6c80ab542
3,00412139e6b04d1e1cee8421f38f6e90,83dd7661089608ebfb550182617322f6,916fdbaf13e4d2cf296f9b4298509fba
4,006f4d8d3556dd21f6424202c2d294a9,73a8c10ff66347ba7187a1eb52e0e8f2,9f1f0177237ed9f6c767aa1884abded4
5,007433133235efc27a39f11df6940829,59949a9304b8d4678e55709ef9cf1d8a,cde2247ec66faa1d9ed7cb325d14bcd4
6,00a76bfbec239fd9f465d6581806ff42,d89f2be0f1683b034375f80d446e2407,6a6a592dab4286783baf1ce2dbf2e8ff
7,01642d24ac5520681d6a20f6c42dc4fe,871e9ccf18d457762de141db98a043e7,fb85ad4fd2bc74adf94bd9cc36ee63da
8,01699a34381500901408ba3258f5c61a,b6bd9248ed2b894808d5a922f8c32d9f,c500818f3a0e7d3a10a0c567e9665035
9,019c1b40e6ec7410e8356c5d8d487954,fd3bab570d15a102802e5b7a73c95e56,8dbc8704ec25e7058252d987bb67b288
10,01c816336959ee9d94b23b37b0f71f21,3e98e7fe83ebc7f729bb90b07d023bbc,38578e1a762a89a984852be20d3e0386
11,01d983ba412b27a65f58848b695ec751,b4e08e6d553dc328d3cb6da3f33b9455,bbab8ff4a3f62c8d5355bb2d5ab8ed51
12,01fe87e27518936463e751691db8f730,0c81fb679d464543822f9b5c59aef5a0,bc9c6686eeb1ee886d3b461b2f584760
13,0200fa88e8c01546663b9db1726936ac,3df9fd5c97b9d9a7a92c284a5df2117e,0fcdf945e3bffc4de6384a63733b5572
14,022181eb0127cb8f1ec240efa3f15799,ee182a14e532b122f40d561d87eb2136,5c3fcc6eec3ed5f3717551c419a3168e
15,02577ddcd838f2559936453b6071dc17,a579110fe1e670847d9d146404597750,9c43b91f79cd9660d0e9dbcfa3488147
16,025a65c53cd655151b9ff1b9518aa27e,817ffb24ed7fc638921a9ecc349981dc,ac22e5a3ef26a2942ff5c0d0edd11040
17,026081211406349c85c3e5b4fc4b6ff0,0470680842880ac7493bbf5e7cfbc26b,ad6c967bd632185db83b4739a8c4b450
18,028098c36eb49a8c6aa6e76e365dd055,7a8adc17b081d43dd1131c4a9fffdf01,82f3e320faea249555b7b85c7cb4d071
19,02a3870e56dbcb6afd73546af54a8457,24b0f50862340357466f38fd42940a45,6bcc536d2db29034ac0c8974df500981
20,0325d6b779870b7bd216f3a81f6ab3d7,4921f0fef4b8adf1396b6eaae5b93cdc,ccb6c208e487f82032ab9c82883e4b31
